식품명,에너지,단백질,지방,탄수화물,1회제공량
오리지널 에그샌드위치,678.0,16.0,42.0,59.0,280.0
디럭스 치즈 샌드위치,1222.8,19.56,68.48,127.17,150.0
디럭스 피넛버터 샌드위치,1125.0,19.56,48.91,146.74,150.0
불고기버거,600.75,20.25,33.75,0.0,150.0
불고기버거,600.75,28.35,43.42,24.3,150.0
새우버거,567.0,16.42,24.3,56.47,150.0
빅맥햄버거,1260.0,27.0,32.4,46.8,150.0
실속햄버거,699.75,28.8,57.15,17.77,150.0
햄버거,630.0,27.9,19.35,72.9,150.0
햄버거,508.5,26.77,24.75,44.55,150.0
치즈버거,720.0,28.35,24.52,66.15,150.0
맥치킨버거,1125.0,25.42,24.52,42.08,150.0
치킨버거,528.75,22.5,20.25,0.0,150.0
치킨휠레버거,542.25,31.27,24.3,2.25,150.0
휘시버거,1260.0,22.5,27.45,52.88,150.0
새우버거,776.25,16.07,45.0,77.14,150.0
등심 돈까스 버거,615.88,22.1,22.32,81.64,150.0
매콤달콤 불고기 버거,509.32,16.27,17.98,70.62,150.0
베이컨 앤 에그 샌드위치,566.62,20.6,23.26,68.72,150.0
빅불고기 버거,541.08,20.14,14.49,82.53,150.0
크랜베리 치킨샌드위치,564.46,20.34,29.31,54.82,150.0
클래식 햄치즈 에그샌드위치,523.44,22.96,22.27,57.78,150.0
푸짐한 햄샌드위치,584.35,22.76,29.33,57.35,150.0
아이돌인기샌드위치,522.0,11.0,23.0,68.0,209.0
상하이치킨버거,593.0,26.0,25.0,66.0,234.0
NEW(뉴)돈까스샌드위치,534.0,18.0,25.0,56.0,194.0
불고기버거,802.0,36.0,22.0,116.0,438.0
쉬림프크랩버거,506.0,12.6,23.2,61.8,200.0
오리지널에그샌드위치,678.0,16.0,42.0,59.0,280.0
더커진더블빅불고기버거,740.0,24.0,41.0,68.0,260.0
아이돌인기샌드위치,526.0,10.0,26.0,62.0,209.0
B.E.L.T샌드위치,1000.0,20.0,64.0,85.0,488.0
한입쏙미니버거,545.0,17.0,26.0,62.0,265.0
더블불고기 고구마 버거,523.0,14.0,27.0,56.0,200.0
NEW상하이스파이시버거,553.0,14.0,29.0,59.0,200.0
불고기버거,679.0,18.0,42.0,58.0,226.0
햄치즈&에그 샌드위치,540.0,22.0,26.0,51.0,176.0
양념치킨까스버거,539.0,20.0,22.0,65.0,192.0
더커진제주흑돈까스버거,788.0,23.0,45.2,72.0,247.0
맵달버거,577.0,17.0,33.0,53.0,190.0
빅&더블버거,712.0,30.0,32.0,76.0,273.0
스파이시통살치킨버거,545.0,13.0,37.0,40.0,183.0
후라이드통살치킨버거,600.0,13.0,46.0,33.0,185.0
에그모닝롤샌드위치,511.0,18.0,27.0,49.0,194.0
치즈폭탄버거,549.0,29.0,28.0,45.0,195.0
만능양파햄샌드위치,641.0,17.0,37.0,60.0,210.0
치즈불고기버거,590.0,19.0,32.0,57.0,219.0
치즈불고기버거,710.0,22.0,42.0,61.0,245.0
빅치즈불고기버거,602.0,23.0,36.0,47.0,206.0
더블디럭스버거,507.0,19.0,28.77,43.0,190.0
사각페스츄리단호박샌드위치,505.0,9.0,37.0,34.0,169.0
빅참치&햄에그샌드위치,560.0,11.0,44.0,30.0,180.0
베이컨치즈치킨버거,537.0,26.0,22.37,58.0,210.0
B.L.T샌드위치,590.0,16.0,33.0,59.0,281.0
통살치킨버거,585.0,26.0,36.0,39.0,193.0
통새우버거,565.0,11.0,44.0,26.0,162.0
3단매콤불고기버거,547.0,20.0,27.0,56.0,195.0
반숙란샌드위치,590.0,19.0,45.0,27.0,241.0
포크 커틀릿 샌드위치,556.0,26.0,26.24,54.0,206.0
(반제)손보다빅버거,680.0,24.0,36.0,65.0,255.0
빅더블불고기치즈버거,502.0,12.0,32.0,42.0,246.0
싱글팩토리불고기버거,554.0,18.0,32.0,48.0,180.0
스파이시치킨샌드위치,512.0,22.0,22.0,58.0,195.0
싱글팩토리불고기치즈버거,554.0,18.0,32.0,48.0,180.0
바게트샌드위치,693.0,18.0,29.0,91.0,200.0
3가지맛 굿모닝샌드위치,560.0,12.0,29.0,64.0,245.0
3단매콤불고기버거,547.0,20.0,27.0,56.0,195.0
9겹돈까스샌드위치,590.0,19.0,36.0,48.0,220.0
B.E.L.T 샌드위치,748.0,17.0,48.0,62.0,280.0
NEW 스크램블&소시지 샌드위치,518.0,10.0,34.0,43.0,170.0
NEW상하이스파이시버거,553.0,14.0,29.0,59.0,200.0
고등급식)더블킹새우버거,601.0,13.0,32.0,64.0,213.0
고추마요치킨버거,575.0,16.0,36.0,47.0,185.0
고추장소불고기버거,547.0,17.0,31.0,50.0,257.0
기내식샌드위치,520.0,16.0,24.0,60.0,228.0
더블디럭스버거,535.0,20.0,30.0,45.0,195.0
더블불고기 포테이토버거,516.0,14.0,28.0,52.0,195.0
더블킹새우버거,584.0,13.0,32.0,61.0,213.0
더블킹새우버거,562.0,13.0,29.0,64.0,213.0
더커진더블빅불고기버거,740.0,24.0,41.0,68.0,260.0
더커진제주흑돈까스버거,788.0,23.0,45.2,72.0,247.0
두툼한통돈까스버거,583.0,21.0,27.0,64.0,220.0
디럭스 스크램블 치즈버거,672.0,20.0,48.0,40.0,195.0
리코타크랜베리샌드위치,570.0,14.0,31.0,59.0,220.0
모짜치즈볼 불닭버거,531.0,20.0,31.0,43.0,180.0
모짜치즈볼 제육버거,544.0,18.0,32.0,46.0,180.0
