식품명,에너지,단백질,지방,탄수화물,1회제공량
가까운 목장의 신선한 원유로 만든 정일품,140,8,5.4,10,200.0
가까운 목장의 신선한 원유로 만든 저지방우유,85,6,3,10,200.0
비바크 부어스트,280,14,7,7,100.0
하우스 그릴 부어스트,95,4,6,6,30.0
프리미엄 저지방 우유,45,3,1.5,5,100.0
내 친구 짱짱,135,6,8.4,9,200.0
부산우유 골드,140,6,8,11,200.0
칼슘쏙쏙 블랙 슬라이스 치즈,60,3,4.8,1,18.0
하얀 체다가 송송,60,3.3,5,0.5,18.0
숯불구이 맛 비엔나,75,3,5,4,30.0
국내산 돈육으로만 만드러 우리 입맛에 잘 맞는 비엔나,105,4,7,6,30.0
맥심 티.오.피 골드브루 아메리카노,7,0,0,1.2,275.0
할리스커피 카페아메리카노,30,0,0,8,230.0
맥스웰하우스 콜롬비아나 스위트아메리카노,50,0,0.5,11,240.0
칸타타 스위트 아메리카노,50,0,0,12,275.0
고소한 맛 진한 참기름,830,0,92,0,100.0
옥천댁 참기름,895,0,99,1,100.0
게메즈에낙,150,3,7,19,30.0
해표 포도씨유,900,0,100,0,100.0
샘표 일편단심 통참깨 참기름,900,0,100,0,100.0
구마구마해,272,2,13,38,57.0
튀기지 않은 사리면,360,8,4,73,92.0
마렝고,493,8,17,77,105.0
맥심 에스프레소 티.오.피 심플리 스무스 블랙,4,0,0,1,240.0
농심 사리면,490,8,17,76,110.0
후룻 바이 더 풋 풋젤리 스트로베리 레몬에이드향,79,0,1.4,16.5,21.0
오뚜기 옛날 자른당면,345,0,0,86,100.0
소면,355,10,1.2,76,100.0
봉평촌 메밀국수 2호,360,9,2.4,75,100.0
아시안 샐러드 누들,260,0,0,65,80.0
참 크래커,450,9,13,74,100.0
아이비,100,2,2.9,16,23.0
고구마전분피 채,72,0,0,18,20.0
몬 월남쌈 A-31,696,4,0.8,168,200.0
지오스 퀴즈팜 포도100,44,0,0,11,100.0
뽀로로 홍삼쏙쏙 포도 블루베리,45,0,0,11,100.0
트로피카나 스파클링 사과,190,0,0,48,400.0
게토레이 레몬향,50,0,0,13,200.0
립톤 아이스티 복숭아,156,0,0,39,500.0
헬로카봇 요거 맛,95,0,0,24,240.0
시크릿 쥬쥬 청포도,75.7,0.22,0,18.7,220.0
캐리 튼튼홍삼 오렌지 귤,50,0,0,13,100.0
복음자리 무농약 유자와 감귤로 만든 잼,55,0,0,13,20.0
썬키스트 레몬에이드,148,0,0,37,350.0
Home plus 딸기잼,292,0,1.1,70,100.0
델몬트 오렌지드링크,60,0,0,15,190.0
비비고 사골곰탕,30,3,2,0,500.0
베비언스 바른 이유식 한우소고기와 양송이버섯,35,1,0.5,6,80.0
3분 낙지덮밥 소스,125,7,5,13,150.0
코로로 그레이프,130,0.6,0,32,48.0
소프트 필라델피아 크림치즈,330,6,32,5,100.0
대상 유기농 딸기잼,250,2,0,60,100.0
고향 만두,825,35,39,84,360.0
개성 왕교자 만두,195,7,9,21,100.0
신 비비고 한섬 만두,730,31,40,62,100.0
대림선 왕교자,205,8,11,19,100.0
마켓오 생 초콜릿 밀크,511,8,35,41,100.0
그대로카레 약간 매운맛,150,4,6,20,200.0
밥 한그릇 뚝딱 바로 먹는 짜장,100,5,3.1,13,100.0
파마산,435,27,36,5,95.0
진심을 담은 버터 스프레더블,740,0,81,2,100.0
돼지저금통 코인초콜렛,515,6,28,60,100.0
천하장사 오리지날,41,3,1.9,3,28.0
오리지날 따봉,21,1,1,2,15.0
